epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.156,1.22136,3.70523,1.48563,0.00251,0.35842,0.1523,0.0857,1.02836,3.33622,1.28509,0.0674231,0.00032906,0.00032906
2,59.6143,1.04646,2.95909,1.35162,0.59368,0.68131,0.55885,0.38309,1.11688,1.85209,1.43231,0.03441,0.000649278,0.000649278
3,75.742,1.0343,1.96809,1.34863,0.73706,0.72714,0.75884,0.52071,1.06285,1.37477,1.36617,0.00138365,0.000956296,0.000956296
4,92.8677,0.95658,1.57526,1.25927,0.84204,0.76318,0.83685,0.57819,1.03325,1.22439,1.29844,0.0009406,0.0009406,0.0009406
5,109.206,0.90236,1.40368,1.19726,0.81037,0.8456,0.8626,0.61096,1.00008,1.12394,1.27641,0.0009208,0.0009208,0.0009208
6,125.199,0.8617,1.28604,1.15921,0.86566,0.83147,0.89273,0.63797,0.96598,1.06065,1.22576,0.000901,0.000901,0.000901
7,141.397,0.83279,1.20084,1.12337,0.81088,0.89309,0.87945,0.62307,0.99009,1.0281,1.24085,0.0008812,0.0008812,0.0008812
8,158.379,0.79192,1.12786,1.09688,0.82188,0.89262,0.88039,0.62982,0.97427,1.02509,1.23268,0.0008614,0.0008614,0.0008614
9,174.497,0.7663,1.08495,1.07785,0.81983,0.90746,0.90096,0.64852,0.98871,0.96109,1.2464,0.0008416,0.0008416,0.0008416
10,190.421,0.73565,1.02546,1.05387,0.79693,0.94386,0.89642,0.63498,1.00679,0.95832,1.25629,0.0008218,0.0008218,0.0008218
11,207.212,0.72413,0.98494,1.04797,0.82652,0.91194,0.91813,0.65093,1.00854,0.90458,1.24766,0.000802,0.000802,0.000802
12,223.85,0.70839,0.95905,1.03247,0.85816,0.88482,0.90752,0.63952,0.99227,0.91438,1.23979,0.0007822,0.0007822,0.0007822
13,240.209,0.68251,0.92305,1.01134,0.82911,0.90852,0.89457,0.62752,0.98676,0.92113,1.22309,0.0007624,0.0007624,0.0007624
14,256.258,0.67283,0.90746,1.01102,0.84146,0.85684,0.87989,0.62863,0.98567,0.92492,1.24965,0.0007426,0.0007426,0.0007426
15,273.32,0.65391,0.87274,0.99817,0.84385,0.91028,0.9086,0.63495,1.00719,0.93007,1.26884,0.0007228,0.0007228,0.0007228
16,289.454,0.63417,0.84428,0.98566,0.84356,0.89124,0.89576,0.62778,1.01609,0.93406,1.27664,0.000703,0.000703,0.000703
17,305.653,0.631,0.83776,0.97848,0.86142,0.87308,0.89588,0.62762,1.00058,0.909,1.24931,0.0006832,0.0006832,0.0006832
18,321.981,0.60701,0.81838,0.97033,0.83548,0.90474,0.9001,0.63539,0.98548,0.90925,1.25798,0.0006634,0.0006634,0.0006634
